Leaves,Order,Family,Subfamily,Genus,Family Definition
NC_053243,Bayonettevirales,Bayonetteviridae,Aegirvirinae,Leonardvirus,Newly defined
NC_053247,Bayonettevirales,Bayonetteviridae,Aegirvirinae,Zitchvirus,Newly defined
NC_055796,Bayonettevirales,Bayonetteviridae,Eggthervirinae,Wizardvirus,Newly defined
NC_055805,Bayonettevirales,Bayonetteviridae,Eggthervirinae,Wizardvirus,Newly defined
NC_055804,Bayonettevirales,Bayonetteviridae,Eggthervirinae,,Newly defined
NC_030913,Bayonettevirales,Bayonetteviridae,Eggthervirinae,Wizardvirus,Newly defined
NC_055857,Bayonettevirales,Bayonetteviridae,Eggthervirinae,Wizardvirus,Newly defined
NC_055765,Bayonettevirales,Bayonetteviridae,Eggthervirinae,Wizardvirus,Newly defined
NC_055816,Bayonettevirales,Bayonetteviridae,Eggthervirinae,Wizardvirus,Newly defined
NC_055810,Bayonettevirales,Bayonetteviridae,Eggthervirinae,Wizardvirus,Newly defined
NC_055785,Bayonettevirales,Bayonetteviridae,Eggthervirinae,Wizardvirus,Newly defined
NC_055751,Bayonettevirales,Bayonetteviridae,Eggthervirinae,Wizardvirus,Newly defined
NC_055797,Bayonettevirales,Bayonetteviridae,Eggthervirinae,Wizardvirus,Newly defined
NC_055861,Bayonettevirales,Bayonetteviridae,Eggthervirinae,Wizardvirus,Newly defined
NC_031052,Bayonettevirales,Bayonetteviridae,Eggthervirinae,Wizardvirus,Newly defined
NC_055752,Bayonettevirales,Bayonetteviridae,Eggthervirinae,Wizardvirus,Newly defined
NC_055799,Bayonettevirales,Bayonetteviridae,Eggthervirinae,Wizardvirus,Newly defined
NC_055798,Bayonettevirales,Bayonetteviridae,Eggthervirinae,Wizardvirus,Newly defined
NC_055843,Bayonettevirales,Bayonetteviridae,Eggthervirinae,Wizardvirus,Newly defined
NC_055795,Bayonettevirales,Bayonetteviridae,Eggthervirinae,Wizardvirus,Newly defined
NC_055920,Bayonettevirales,Bayonetteviridae,Eggthervirinae,Wizardvirus,Newly defined
NC_047786,Drexlervirales,Poniardviridae,Saovirinae,Nonanavirus,Newly defined
NC_071011,Drexlervirales,Poniardviridae,Saovirinae,,Newly defined
NC_025443,Drexlervirales,Poniardviridae,Saovirinae,Nonanavirus,Newly defined
NC_048198,Drexlervirales,Rhomphaiaviridae,Prosperovirinae,,Newly defined
NC_048197,Drexlervirales,Rhomphaiaviridae,Prosperovirinae,,Newly defined
NC_070798,Vilmavirales,Bazookaviridae,Deimosvirinae,Attisvirus,Newly defined
NC_070800,Vilmavirales,Bazookaviridae,Deimosvirinae,Attisvirus,Newly defined
NC_070801,Vilmavirales,Bazookaviridae,Deimosvirinae,Attisvirus,Newly defined
NC_070802,Vilmavirales,Bazookaviridae,Deimosvirinae,Attisvirus,Newly defined
NC_070799,Vilmavirales,Bazookaviridae,Deimosvirinae,Attisvirus,Newly defined
NC_070797,Vilmavirales,Bazookaviridae,Deimosvirinae,,Newly defined
NC_070816,Vilmavirales,Bazookaviridae,Deimosvirinae,,Newly defined
NC_070803,Vilmavirales,Bazookaviridae,Deimosvirinae,Attisvirus,Newly defined
NC_070804,Vilmavirales,Bazookaviridae,Deimosvirinae,Attisvirus,Newly defined
NC_041883,Vilmavirales,Bazookaviridae,Deimosvirinae,Attisvirus,Newly defined
NC_055745,Vilmavirales,Bazookaviridae,Kerberosvirinae,,Newly defined
NC_053173,Vilmavirales,Bazookaviridae,Kerberosvirinae,Fairfaxidumvirus,Newly defined
NC_048185,Vilmavirales,Bazookaviridae,Kerberosvirinae,Fairfaxidumvirus,Newly defined
NC_053174,Vilmavirales,Bazookaviridae,Kerberosvirinae,Fairfaxidumvirus,Newly defined
NC_055792,Vilmavirales,Bazookaviridae,Kerberosvirinae,Jujuvirus,Newly defined
NC_055865,Vilmavirales,Bazookaviridae,Kerberosvirinae,Jujuvirus,Newly defined
NC_055811,Vilmavirales,Bazookaviridae,Kerberosvirinae,Jujuvirus,Newly defined
NC_055912,Vilmavirales,Bazookaviridae,Kerberosvirinae,Jujuvirus,Newly defined
NC_055754,Vilmavirales,Bazookaviridae,Kerberosvirinae,,Newly defined
NC_070810,Vilmavirales,Bazookaviridae,Ijiraqvirinae,Beenievirus_1,Newly defined
NC_070808,Vilmavirales,Bazookaviridae,Ijiraqvirinae,Beenievirus_1,Newly defined
NC_070807,Vilmavirales,Bazookaviridae,Ijiraqvirinae,Beenievirus_1,Newly defined
NC_070806,Vilmavirales,Bazookaviridae,Ijiraqvirinae,Beenievirus_1,Newly defined
NC_070811,Vilmavirales,Bazookaviridae,Ijiraqvirinae,Beenievirus_1,Newly defined
NC_070812,Vilmavirales,Bazookaviridae,Ijiraqvirinae,Beenievirus_1,Newly defined
NC_070818,Vilmavirales,Bazookaviridae,Ijiraqvirinae,,Newly defined
NC_070817,Vilmavirales,Bazookaviridae,Ijiraqvirinae,,Newly defined
NC_070805,Vilmavirales,Bazookaviridae,Ijiraqvirinae,,Newly defined
NC_070814,Vilmavirales,Bazookaviridae,Ijiraqvirinae,Beenievirus_2,Newly defined
NC_070815,Vilmavirales,Bazookaviridae,Ijiraqvirinae,Beenievirus_2,Newly defined
NC_070809,Vilmavirales,Bazookaviridae,Ijiraqvirinae,,Newly defined
NC_070813,Vilmavirales,Bazookaviridae,Ijiraqvirinae,Beenievirus_1,Newly defined
NC_047839,Demerecvirales,Trebuchetviridae,Actaeavirinae,,Newly defined
NC_029094,Demerecvirales,Trebuchetviridae,Actaeavirinae,,Newly defined
NC_005345,Vilmavirales,ZweihÃ¤nderviridae,Hyrrokkinvirinae,,Newly defined
NC_028952,Vilmavirales,ZweihÃ¤nderviridae,Hyrrokkinvirinae,,Newly defined
NC_070659,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_071082,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_1,ICTV VMR38
NC_002185,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_070717,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_070719,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_070688,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_070718,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_071085,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_1,ICTV VMR38
NC_070671,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_070725,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_070662,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_070663,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_070712,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_070711,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_070710,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_070660,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_070653,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_013598,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_1,ICTV VMR38
NC_071064,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_2,ICTV VMR38
NC_071062,Strabovirales,Aliceevansviridae_1,Hydravirinae,,ICTV VMR38
NC_071086,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_3,ICTV VMR38
NC_023503,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_3,ICTV VMR38
NC_020197,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_3,ICTV VMR38
NC_071070,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_2,ICTV VMR38
NC_071069,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_2,ICTV VMR38
NC_071080,Strabovirales,Aliceevansviridae_1,Hydravirinae,,ICTV VMR38
NC_071061,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_2,ICTV VMR38
NC_071079,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_2,ICTV VMR38
NC_071075,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_2,ICTV VMR38
NC_071072,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_2,ICTV VMR38
NC_071066,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_2,ICTV VMR38
NC_071067,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_2,ICTV VMR38
NC_071065,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_2,ICTV VMR38
NC_071073,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_2,ICTV VMR38
NC_070900,Strabovirales,Aliceevansviridae_1,Hydravirinae,,ICTV VMR38
NC_070683,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_013645,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_004303,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_1,ICTV VMR38
NC_022776,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_1,ICTV VMR38
NC_007019,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_1,ICTV VMR38
NC_010353,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_1,ICTV VMR38
NC_071081,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_1,ICTV VMR38
NC_071083,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_1,ICTV VMR38
NC_002214,Strabovirales,Aliceevansviridae_1,Hydravirinae,,ICTV VMR38
NC_071084,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_1,ICTV VMR38
NC_071063,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_1,ICTV VMR38
NC_071076,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_1,ICTV VMR38
NC_071078,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_1,ICTV VMR38
NC_071077,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_1,ICTV VMR38
NC_070657,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070697,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_071071,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_1,ICTV VMR38
NC_070690,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_070693,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_3,ICTV VMR38
NC_070679,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_3,ICTV VMR38
NC_070681,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_070702,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_070713,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_070655,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_070654,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_070687,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_070664,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_3,ICTV VMR38
NC_070669,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_070682,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_070678,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_070676,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_070672,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_3,ICTV VMR38
NC_070686,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_3,ICTV VMR38
NC_070675,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_3,ICTV VMR38
NC_070674,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_2,ICTV VMR38
NC_070898,Strabovirales,Aliceevansviridae_1,Hydravirinae,Piorkowskivirus,ICTV VMR38
NC_071074,Strabovirales,Aliceevansviridae_1,Hydravirinae,Brussowvirus_1,ICTV VMR38
NC_031069,Strabovirales,Aliceevansviridae_1,Hydravirinae,Piorkowskivirus,ICTV VMR38
NC_070685,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070720,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070667,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070666,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070696,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070668,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070661,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070709,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070708,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070652,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070680,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070714,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070724,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070721,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070684,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070723,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070698,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070691,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070703,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070707,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070706,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070705,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070692,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070689,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070651,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070701,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070695,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070704,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070658,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070899,Strabovirales,Aliceevansviridae_1,Hydravirinae,Piorkowskivirus,ICTV VMR38
NC_070700,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070726,Strabovirales,Aliceevansviridae_1,Hydravirinae,,ICTV VMR38
NC_070699,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070665,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_000871,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_4,ICTV VMR38
NC_070677,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_4,ICTV VMR38
NC_070715,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_4,ICTV VMR38
NC_071068,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_4,ICTV VMR38
NC_000872,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_5,ICTV VMR38
NC_070673,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_5,ICTV VMR38
NC_002072,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070670,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070722,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070716,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_070656,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_003085,Strabovirales,Aliceevansviridae_1,Hydravirinae,,ICTV VMR38
NC_019420,Strabovirales,Aliceevansviridae_1,Hydravirinae,,ICTV VMR38
NC_070901,Strabovirales,Aliceevansviridae_1,Hydravirinae,,ICTV VMR38
NC_031023,Strabovirales,Aliceevansviridae_1,Hydravirinae,Piorkowskivirus,ICTV VMR38
NC_031094,Strabovirales,Aliceevansviridae_1,Hydravirinae,Piorkowskivirus,ICTV VMR38
NC_070694,Strabovirales,Aliceevansviridae_1,Hydravirinae,Moineauvirus_1,ICTV VMR38
NC_071055,Bardichvirales,Aliceevansviridae_2,Praxidikevirinae,Vansinderenvirus_1,ICTV VMR38
NC_071057,Bardichvirales,Aliceevansviridae_2,Praxidikevirinae,Vansinderenvirus_1,ICTV VMR38
NC_071054,Bardichvirales,Aliceevansviridae_2,Praxidikevirinae,Vansinderenvirus_1,ICTV VMR38
NC_071052,Bardichvirales,Aliceevansviridae_2,Praxidikevirinae,Vansinderenvirus_1,ICTV VMR38
NC_071051,Bardichvirales,Aliceevansviridae_2,Praxidikevirinae,Vansinderenvirus_1,ICTV VMR38
NC_071056,Bardichvirales,Aliceevansviridae_2,Praxidikevirinae,Vansinderenvirus_1,ICTV VMR38
NC_071060,Bardichvirales,Aliceevansviridae_2,Praxidikevirinae,Vansinderenvirus_2,ICTV VMR38
NC_012753,Bardichvirales,Aliceevansviridae_2,Praxidikevirinae,,ICTV VMR38
NC_071053,Bardichvirales,Aliceevansviridae_2,Praxidikevirinae,Vansinderenvirus_1,ICTV VMR38
NC_071059,Bardichvirales,Aliceevansviridae_2,Praxidikevirinae,Vansinderenvirus_1,ICTV VMR38
NC_071058,Bardichvirales,Aliceevansviridae_2,Praxidikevirinae,Vansinderenvirus_2,ICTV VMR38
NC_006557,Bardichvirales,Aliceevansviridae_2,Kalykevirinae,,ICTV VMR38
NC_047912,Bardichvirales,Aliceevansviridae_2,Kalykevirinae,,ICTV VMR38
NC_047860,Autographivirales,Autographiviridae_1,Portiavirinae,,ICTV VMR38
NC_029092,Autographivirales,Autographiviridae_1,Portiavirinae,,ICTV VMR38
NC_041885,Autographivirales,Autographiviridae_1,Portiavirinae,,ICTV VMR38
NC_041912,Autographivirales,Autographiviridae_1,Epimetheusvirinae,,ICTV VMR38
NC_048055,Autographivirales,Autographiviridae_1,Epimetheusvirinae,,ICTV VMR38
NC_047741,Autographivirales,Autographiviridae_1,Xiangliuvirinae,,ICTV VMR38
NC_047834,Autographivirales,Autographiviridae_1,Xiangliuvirinae,,ICTV VMR38
NC_047706,Autographivirales,Autographiviridae_2,Himaliavirinae,,ICTV VMR38
NC_047700,Autographivirales,Autographiviridae_2,Himaliavirinae,,ICTV VMR38
NC_047707,Autographivirales,Autographiviridae_2,Himaliavirinae,,ICTV VMR38
NC_047708,Autographivirales,Autographiviridae_2,Despinavirinae,,ICTV VMR38
NC_047703,Autographivirales,Autographiviridae_2,Despinavirinae,,ICTV VMR38
NC_048050,Autographivirales,Autographiviridae_2,Galateavirinae,,ICTV VMR38
NC_047711,Autographivirales,Autographiviridae_2,Galateavirinae,,ICTV VMR38
NC_020482,Autographivirales,Autographiviridae_2,Galateavirinae,,ICTV VMR38
NC_047701,Autographivirales,Autographiviridae_2,Namakavirinae,Foussvirus,ICTV VMR38
NC_047705,Autographivirales,Autographiviridae_2,Namakavirinae,Foussvirus,ICTV VMR38
NC_047702,Autographivirales,Autographiviridae_2,Namakavirinae,,ICTV VMR38
NC_020483,Autographivirales,Autographiviridae_2,Namakavirinae,,ICTV VMR38
NC_048183,Autographivirales,Autographiviridae_3,Belindavirinae,Lirvirus,ICTV VMR38
NC_047710,Autographivirales,Autographiviridae_3,Belindavirinae,,ICTV VMR38
NC_020838,Autographivirales,Autographiviridae_3,Belindavirinae,,ICTV VMR38
NC_048184,Autographivirales,Autographiviridae_3,Belindavirinae,Lirvirus,ICTV VMR38
NC_048026,Autographivirales,Autographiviridae_3,Belindavirinae,,ICTV VMR38
NC_020867,Autographivirales,Autographiviridae_3,Belindavirinae,,ICTV VMR38
NC_047709,Autographivirales,Autographiviridae_3,Belindavirinae,,ICTV VMR38
NC_006882,Autographivirales,Autographiviridae_3,Julietvirinae,,ICTV VMR38
NC_016656,Autographivirales,Autographiviridae_3,Julietvirinae,Tritonvirus,ICTV VMR38
NC_020874,Autographivirales,Autographiviridae_3,Julietvirinae,Tritonvirus,ICTV VMR38
NC_020878,Autographivirales,Autographiviridae_3,Julietvirinae,,ICTV VMR38
NC_016657,Autographivirales,Autographiviridae_3,Julietvirinae,Tangaroavirus,ICTV VMR38
NC_020835,Autographivirales,Autographiviridae_3,Julietvirinae,Tangaroavirus,ICTV VMR38
NC_016659,Autographivirales,Autographiviridae_3,Julietvirinae,Tangaroavirus,ICTV VMR38
NC_016658,Autographivirales,Autographiviridae_3,Julietvirinae,,ICTV VMR38
NC_020872,Autographivirales,Autographiviridae_3,Thebevirinae,,ICTV VMR38
NC_009531,Autographivirales,Autographiviridae_3,Thebevirinae,,ICTV VMR38
NC_025455,Autographivirales,Autographiviridae_3,Thebevirinae,,ICTV VMR38
NC_003390,Autographivirales,Autographiviridae_3,Thebevirinae,,ICTV VMR38
NC_029031,Autographivirales,Autographiviridae_3,Thebevirinae,,ICTV VMR38
NC_053000,Drexlervirales,Casjensviridae,Setebosvirinae,Chivirus,ICTV VMR38
NC_048655,Drexlervirales,Casjensviridae,Setebosvirinae,Chivirus,ICTV VMR38
NC_052999,Drexlervirales,Casjensviridae,Setebosvirinae,Chivirus,ICTV VMR38
NC_048666,Drexlervirales,Casjensviridae,Setebosvirinae,Chivirus,ICTV VMR38
NC_048648,Drexlervirales,Casjensviridae,Setebosvirinae,Chivirus,ICTV VMR38
NC_031228,Drexlervirales,Casjensviridae,Setebosvirinae,Chivirus,ICTV VMR38
NC_021783,Drexlervirales,Casjensviridae,Setebosvirinae,Chivirus,ICTV VMR38
NC_048683,Drexlervirales,Casjensviridae,Setebosvirinae,Chivirus,ICTV VMR38
NC_021780,Drexlervirales,Casjensviridae,Setebosvirinae,Chivirus,ICTV VMR38
NC_019417,Drexlervirales,Casjensviridae,Setebosvirinae,Chivirus,ICTV VMR38
NC_053012,Drexlervirales,Casjensviridae,Setebosvirinae,,ICTV VMR38
NC_018832,Drexlervirales,Casjensviridae,Setebosvirinae,,ICTV VMR38
NC_052989,Drexlervirales,Casjensviridae,Setebosvirinae,,ICTV VMR38
NC_048727,Drexlervirales,Casjensviridae,Setebosvirinae,Chivirus,ICTV VMR38
NC_021315,Drexlervirales,Casjensviridae,Setebosvirinae,Chivirus,ICTV VMR38
NC_052991,Drexlervirales,Casjensviridae,Setebosvirinae,Chivirus,ICTV VMR38
NC_029045,Drexlervirales,Casjensviridae,Setebosvirinae,,ICTV VMR38
NC_048632,Drexlervirales,Casjensviridae,Setebosvirinae,,ICTV VMR38
NC_031930,Drexlervirales,Casjensviridae,Setebosvirinae,Chivirus,ICTV VMR38
NC_052979,Drexlervirales,Casjensviridae,Setebosvirinae,Cenphatecvirus,ICTV VMR38
NC_052978,Drexlervirales,Casjensviridae,Setebosvirinae,Cenphatecvirus,ICTV VMR38
NC_053011,Drexlervirales,Casjensviridae,Setebosvirinae,,ICTV VMR38
NC_052981,Drexlervirales,Casjensviridae,Setebosvirinae,Lavrentievavirus,ICTV VMR38
NC_021779,Drexlervirales,Casjensviridae,Setebosvirinae,Chivirus,ICTV VMR38
NC_019524,Drexlervirales,Casjensviridae,Setebosvirinae,Redjacvirus,ICTV VMR38
NC_053010,Drexlervirales,Casjensviridae,Setebosvirinae,Redjacvirus,ICTV VMR38
NC_053008,Drexlervirales,Casjensviridae,Setebosvirinae,Redjacvirus,ICTV VMR38
NC_028812,Drexlervirales,Casjensviridae,Setebosvirinae,Lavrentievavirus,ICTV VMR38
NC_052983,Drexlervirales,Casjensviridae,Setebosvirinae,Lavrentievavirus,ICTV VMR38
NC_053009,Drexlervirales,Casjensviridae,Setebosvirinae,Redjacvirus,ICTV VMR38
NC_053013,Drexlervirales,Casjensviridae,Nesovirinae,,ICTV VMR38
NC_018283,Drexlervirales,Casjensviridae,Nesovirinae,,ICTV VMR38
NC_029106,Drexlervirales,Casjensviridae,Nesovirinae,,ICTV VMR38
NC_004629,Strabovirales,Chimalliviridae,Laomedeiavirinae,Phikzvirus,ICTV VMR38
NC_042081,Strabovirales,Chimalliviridae,Laomedeiavirinae,Phikzvirus,ICTV VMR38
NC_010821,Strabovirales,Chimalliviridae,Laomedeiavirinae,Phikzvirus,ICTV VMR38
NC_028999,Strabovirales,Chimalliviridae,Laomedeiavirinae,Phikzvirus,ICTV VMR38
NC_042060,Strabovirales,Chimalliviridae,Laomedeiavirinae,Phikzvirus,ICTV VMR38
NC_048668,Strabovirales,Chimalliviridae,Laomedeiavirinae,Moabitevirus,ICTV VMR38
NC_041994,Strabovirales,Chimalliviridae,Laomedeiavirinae,Phikzvirus,ICTV VMR38
NC_070882,Strabovirales,Chimalliviridae,Laomedeiavirinae,Phikzvirus,ICTV VMR38
NC_042098,Strabovirales,Chimalliviridae,Laomedeiavirinae,Agricanvirus,ICTV VMR38
NC_062582,Strabovirales,Chimalliviridae,Laomedeiavirinae,Phikzvirus,ICTV VMR38
NC_062581,Strabovirales,Chimalliviridae,Laomedeiavirinae,Phikzvirus,ICTV VMR38
NC_019929,Strabovirales,Chimalliviridae,Laomedeiavirinae,Erskinevirus,ICTV VMR38
NC_027402,Strabovirales,Chimalliviridae,Laomedeiavirinae,Erskinevirus,ICTV VMR38
NC_031107,Strabovirales,Chimalliviridae,Laomedeiavirinae,Erskinevirus,ICTV VMR38
NC_042056,Strabovirales,Chimalliviridae,Laomedeiavirinae,Erskinevirus,ICTV VMR38
NC_048016,Strabovirales,Chimalliviridae,Laomedeiavirinae,Erskinevirus,ICTV VMR38
NC_048173,Strabovirales,Chimalliviridae,Laomedeiavirinae,Erskinevirus,ICTV VMR38
