protein,refseq_genbank_entry,predicted_pfam,pfam_definition,cluster_genome_accn,cluster_phage
YP_009099099.1,YP_009099099.1 hypothetical protein OZ73_gp055 [Bacillus phage CP-51],PF00851,Helper component proteinase,NC_025423,Bacillus phage CP-51
YP_009099124.1,YP_009099124.1 hypothetical protein OZ73_gp080 [Bacillus phage CP-51],PF06298,Photosystem II protein Y (PsbY),NC_025423,Bacillus phage CP-51
YP_009099136.1,YP_009099136.1 hypothetical protein OZ73_gp092 [Bacillus phage CP-51],PF01383,CpcD/allophycocyanin linker domain,NC_025423,Bacillus phage CP-51
YP_009099155.1,YP_009099155.1 hypothetical protein OZ73_gp111 [Bacillus phage CP-51],PF03295,Poxvirus trans-activator protein A1 C-terminal,NC_025423,Bacillus phage CP-51
YP_009099160.1,YP_009099160.1 hypothetical protein OZ73_gp116 [Bacillus phage CP-51],PF11944,Protein of unknown function (DUF3461),NC_025423,Bacillus phage CP-51
YP_009099167.1,YP_009099167.1 hypothetical protein OZ73_gp123 [Bacillus phage CP-51],PF17613,Modifier of transcription,NC_025423,Bacillus phage CP-51
YP_009099178.1,YP_009099178.1 hypothetical protein OZ73_gp134 [Bacillus phage CP-51],PF01051,Initiator Replication protein WH1,NC_025423,Bacillus phage CP-51
YP_009099180.1,YP_009099180.1 hypothetical protein OZ73_gp136 [Bacillus phage CP-51],PF12283,Bacteriophage protein K,NC_025423,Bacillus phage CP-51
YP_009099190.1,YP_009099190.1 hypothetical protein OZ73_gp146 [Bacillus phage CP-51],PF06331,Transcription factor TFIIH complex subunit Tfb5,NC_025423,Bacillus phage CP-51
YP_009099196.1,YP_009099196.1 hypothetical protein OZ73_gp152 [Bacillus phage CP-51],PF11058,Antirestriction protein Ral,NC_025423,Bacillus phage CP-51
YP_009099199.1,YP_009099199.1 hypothetical protein OZ73_gp155 [Bacillus phage CP-51],PF03206,Nitrogen fixation protein NifW,NC_025423,Bacillus phage CP-51
YP_009099200.1,YP_009099200.1 transcriptional regulator [Bacillus phage CP-51],PF14000,DNA packaging protein FI,NC_025423,Bacillus phage CP-51
YP_009099205.1,YP_009099205.1 DNA topoisomerase [Bacillus phage CP-51],PF01840,TCL1/MTCP1 family,NC_025423,Bacillus phage CP-51
YP_009099234.1,YP_009099234.1 hypothetical protein OZ73_gp190 [Bacillus phage CP-51],PF16815,Protein HRI1,NC_025423,Bacillus phage CP-51
YP_009099237.1,YP_009099237.1 hypothetical protein OZ73_gp193 [Bacillus phage CP-51],PF02081,Tryptophan RNA-binding attenuator protein,NC_025423,Bacillus phage CP-51
YP_009099242.1,YP_009099242.1 hypothetical protein OZ73_gp198 [Bacillus phage CP-51],PF05360,yiaA/B two helix domain,NC_025423,Bacillus phage CP-51
YP_009099247.1,YP_009099247.1 hypothetical protein OZ73_gp203 [Bacillus phage CP-51],PF10733,Protein of unknown function (DUF2525),NC_025423,Bacillus phage CP-51
YP_009099248.1,YP_009099248.1 hypothetical protein OZ73_gp204 [Bacillus phage CP-51],PF16855,Small outer capsid protein,NC_025423,Bacillus phage CP-51
YP_009099258.1,YP_009099258.1 hypothetical protein OZ73_gp214 [Bacillus phage CP-51],PF13995,YebF-like protein,NC_025423,Bacillus phage CP-51
YP_009099264.1,YP_009099264.1 hypothetical protein OZ73_gp220 [Bacillus phage CP-51],PF04363,Protein of unknown function (DUF496),NC_025423,Bacillus phage CP-51
YP_009099271.1,YP_009099271.1 hypothetical protein Waukesha92_06 [Bacillus phage Waukesha92],PF03233,Aphid transmission protein,NC_025424,Bacillus phage Waukesha92
YP_009099272.1,YP_009099272.1 hypothetical protein Waukesha92_07 [Bacillus phage Waukesha92],PF09399,Betacoronavirus lipid binding protein,NC_025424,Bacillus phage Waukesha92
YP_009099274.1,YP_009099274.1 transcriptional regulator [Bacillus phage Waukesha92],PF06069,PerC transcriptional activator,NC_025424,Bacillus phage Waukesha92
YP_009099288.1,YP_009099288.1 hypothetical protein Waukesha92_23 [Bacillus phage Waukesha92],PF08617,Kinase binding protein CGI-121,NC_025424,Bacillus phage Waukesha92
YP_009099292.1,YP_009099292.1 hypothetical protein Waukesha92_27 [Bacillus phage Waukesha92],PF10802,Protein of unknown function (DUF2540),NC_025424,Bacillus phage Waukesha92
YP_009099306.1,YP_009099306.1 replication protein [Bacillus phage Waukesha92],PF04492,Bacteriophage replication protein O,NC_025424,Bacillus phage Waukesha92
YP_009099310.1,YP_009099310.1 hypothetical protein Waukesha92_45 [Bacillus phage Waukesha92],PF01402,Ribbon-helix-helix protein copG family,NC_025424,Bacillus phage Waukesha92
YP_009099322.1,YP_009099322.1 hypothetical protein Waukesha92_57 [Bacillus phage Waukesha92],PF06992,Replication protein P,NC_025424,Bacillus phage Waukesha92
YP_009099323.1,YP_009099323.1 hypothetical protein Waukesha92_58 [Bacillus phage Waukesha92],PF10876,Phage tail assembly chaperone protein TAC,NC_025424,Bacillus phage Waukesha92
YP_009099338.1,YP_009099338.1 tail associated lysin [Staphylococcus phage P108],PF06995,Phage P2 GpU,NC_025426,Staphylococcus phage P108
YP_009099353.1,YP_009099353.1 hypothetical protein P108_0016 [Staphylococcus phage P108],PF06569,Protein of unknown function (DUF1128),NC_025426,Staphylococcus phage P108
YP_009099363.1,YP_009099363.1 hypothetical protein P108_0026 [Staphylococcus phage P108],PF04038,Dihydroneopterin aldolase,NC_025426,Staphylococcus phage P108
YP_009099407.1,YP_009099407.1 hypothetical protein P108_0070 [Staphylococcus phage P108],PF05854,Non-histone chromosomal protein MC1,NC_025426,Staphylococcus phage P108
YP_009099414.1,YP_009099414.1 hypothetical protein P108_0077 [Staphylococcus phage P108],PF06794,Uncharacterised protein family (UPF0270),NC_025426,Staphylococcus phage P108
YP_009099425.1,YP_009099425.1 hypothetical protein P108_0088 [Staphylococcus phage P108],PF10465,PinA peptidase inhibitor,NC_025426,Staphylococcus phage P108
YP_009099427.1,YP_009099427.1 hypothetical protein P108_0090 [Staphylococcus phage P108],PF05440,Tetrahydromethanopterin S-methyltransferase subunit B,NC_025426,Staphylococcus phage P108
YP_009099431.1,YP_009099431.1 hypothetical protein P108_0094 [Staphylococcus phage P108],PF11944,Protein of unknown function (DUF3461),NC_025426,Staphylococcus phage P108
YP_009099432.1,YP_009099432.1 hypothetical protein P108_0095 [Staphylococcus phage P108],PF07118,Protein of unknown function (DUF1374),NC_025426,Staphylococcus phage P108
YP_009099433.1,YP_009099433.1 hypothetical protein P108_0096 [Staphylococcus phage P108],PF02500,Probable DNA packing protein N-terminus,NC_025426,Staphylococcus phage P108
YP_009099435.1,YP_009099435.1 hypothetical protein P108_0098 [Staphylococcus phage P108],PF17259,Family of unknown function (DUF5325),NC_025426,Staphylococcus phage P108
YP_009099436.1,YP_009099436.1 hypothetical protein P108_0099 [Staphylococcus phage P108],PF01893,Uncharacterised protein family UPF0058,NC_025426,Staphylococcus phage P108
YP_009099442.1,YP_009099442.1 hypothetical protein P108_0105 [Staphylococcus phage P108],PF11520,Chromatin protein Cren7,NC_025426,Staphylococcus phage P108
YP_009099443.1,YP_009099443.1 hypothetical protein P108_0106 [Staphylococcus phage P108],PF11944,Protein of unknown function (DUF3461),NC_025426,Staphylococcus phage P108
YP_009099452.1,YP_009099452.1 membrane protein [Staphylococcus phage P108],PF01241,Photosystem I psaG / psaK,NC_025426,Staphylococcus phage P108
YP_009099453.1,YP_009099453.1 hypothetical protein P108_0116 [Staphylococcus phage P108],PF11100,Conjugal transfer protein TrbE,NC_025426,Staphylococcus phage P108
YP_009099467.1,YP_009099467.1 hypothetical protein P108_0130 [Staphylococcus phage P108],PF10809,Protein of unknown function (DUF2732),NC_025426,Staphylococcus phage P108
YP_009099471.1,YP_009099471.1 hypothetical protein P108_0134 [Staphylococcus phage P108],PF06855,YozE SAM-like fold,NC_025426,Staphylococcus phage P108
YP_009099473.1,YP_009099473.1 terminal repeat-encoded protein [Staphylococcus phage P108],PF04485,Phycobilisome degradation protein nblA,NC_025426,Staphylococcus phage P108
YP_009099474.1,YP_009099474.1 terminal repeat-encoded protein [Staphylococcus phage P108],PF06569,Protein of unknown function (DUF1128),NC_025426,Staphylococcus phage P108
YP_009099475.1,YP_009099475.1 hypothetical protein P108_0138 [Staphylococcus phage P108],PF10757,Biofilm formation regulator YbaJ,NC_025426,Staphylococcus phage P108
YP_009099476.1,YP_009099476.1 hypothetical protein P108_0139 [Staphylococcus phage P108],PF06988,NifT/FixU protein,NC_025426,Staphylococcus phage P108
YP_009099477.1,YP_009099477.1 hypothetical protein P108_0140 [Staphylococcus phage P108],PF06988,NifT/FixU protein,NC_025426,Staphylococcus phage P108
YP_009099480.1,YP_009099480.1 hypothetical protein P108_0143 [Staphylococcus phage P108],PF06288,Protein of unknown function (DUF1040),NC_025426,Staphylococcus phage P108
YP_009099486.1,YP_009099486.1 hypothetical protein P108_0149 [Staphylococcus phage P108],PF08719,NADAR domain,NC_025426,Staphylococcus phage P108
YP_009099498.1,YP_009099498.1 hypothetical protein P108_0161 [Staphylococcus phage P108],PF17549,Gene Product 17,NC_025426,Staphylococcus phage P108
YP_009099503.1,YP_009099503.1 hypothetical protein P108_0166 [Staphylococcus phage P108],PF05798,Bacteriophage FRD3 protein,NC_025426,Staphylococcus phage P108
YP_009099515.1,YP_009099515.1 hypothetical protein P108_0178 [Staphylococcus phage P108],PF04467,Protein of unknown function (DUF483),NC_025426,Staphylococcus phage P108
YP_009099740.1,YP_009099740.1 hypothetical protein P10VF_001 [Rhizobium phage vB_RleM_P10VF],PF05366,Sarcolipin,NC_025429,Rhizobium phage vB_RleM_P10VF
YP_009099769.1,YP_009099769.1 hypothetical protein P10VF_030 [Rhizobium phage vB_RleM_P10VF],PF02718,Herpesvirus UL31-like protein,NC_025429,Rhizobium phage vB_RleM_P10VF
YP_009099778.1,YP_009099778.1 hypothetical protein P10VF_039 [Rhizobium phage vB_RleM_P10VF],PF07180,CaiF/GrlA transcriptional regulator,NC_025429,Rhizobium phage vB_RleM_P10VF
YP_009099786.1,YP_009099786.1 hypothetical protein P10VF_047 [Rhizobium phage vB_RleM_P10VF],PF06331,Transcription factor TFIIH complex subunit Tfb5,NC_025429,Rhizobium phage vB_RleM_P10VF
YP_009099791.1,YP_009099791.1 hypothetical protein P10VF_052 [Rhizobium phage vB_RleM_P10VF],PF17961,Bacterial Ig domain,NC_025429,Rhizobium phage vB_RleM_P10VF
YP_009099807.1,YP_009099807.1 hypothetical protein P10VF_068 [Rhizobium phage vB_RleM_P10VF],PF03673,Uncharacterised protein family (UPF0128),NC_025429,Rhizobium phage vB_RleM_P10VF
YP_009099813.1,YP_009099813.1 hypothetical protein P10VF_074 [Rhizobium phage vB_RleM_P10VF],PF03701,Uncharacterised protein family (UPF0181),NC_025429,Rhizobium phage vB_RleM_P10VF
YP_009099852.1,YP_009099852.1 hypothetical protein P10VF_113 [Rhizobium phage vB_RleM_P10VF],PF08948,Bacteriophage PRD1 P5 spike N-terminal,NC_025429,Rhizobium phage vB_RleM_P10VF
YP_009099858.1,YP_009099858.1 hypothetical protein P10VF_119 [Rhizobium phage vB_RleM_P10VF],PF11520,Chromatin protein Cren7,NC_025429,Rhizobium phage vB_RleM_P10VF
YP_009099870.1,YP_009099870.1 hypothetical protein P10VF_131 [Rhizobium phage vB_RleM_P10VF],PF10664,Cyanobacterial and plastid NDH-1 subunit M,NC_025429,Rhizobium phage vB_RleM_P10VF
YP_009099895.1,YP_009099895.1 hypothetical protein P10VF_156 [Rhizobium phage vB_RleM_P10VF],PF06855,YozE SAM-like fold,NC_025429,Rhizobium phage vB_RleM_P10VF
YP_009099904.1,YP_009099904.1 hypothetical protein P10VF_165 [Rhizobium phage vB_RleM_P10VF],PF10805,Protein of unknown function (DUF2730),NC_025429,Rhizobium phage vB_RleM_P10VF
YP_009099905.1,YP_009099905.1 hypothetical protein P10VF_166 [Rhizobium phage vB_RleM_P10VF],PF01775,Ribosomal proteins 50S-L18Ae/60S-L20/60S-L18A,NC_025429,Rhizobium phage vB_RleM_P10VF
YP_009099949.1,YP_009099949.1 hypothetical protein P10VF_210 [Rhizobium phage vB_RleM_P10VF],PF03744,6-carboxyhexanoate--CoA ligase,NC_025429,Rhizobium phage vB_RleM_P10VF
YP_009099950.1,YP_009099950.1 hypothetical protein P10VF_211 [Rhizobium phage vB_RleM_P10VF],PF04627,Mitochondrial ATP synthase epsilon chain,NC_025429,Rhizobium phage vB_RleM_P10VF
YP_009099957.1,YP_009099957.1 hypothetical protein P10VF_218 [Rhizobium phage vB_RleM_P10VF],PF00556,Antenna complex alpha/beta subunit,NC_025429,Rhizobium phage vB_RleM_P10VF
YP_009099961.1,YP_009099961.1 hypothetical protein P10VF_222 [Rhizobium phage vB_RleM_P10VF],PF04496,Herpesvirus UL35 family,NC_025429,Rhizobium phage vB_RleM_P10VF
YP_009099977.1,YP_009099977.1 hypothetical protein P10VF_238 [Rhizobium phage vB_RleM_P10VF],PF11603,Sir1 ORC-binding domain,NC_025429,Rhizobium phage vB_RleM_P10VF
YP_009099984.1,YP_009099984.1 hypothetical protein P10VF_245 [Rhizobium phage vB_RleM_P10VF],PF06988,NifT/FixU protein,NC_025429,Rhizobium phage vB_RleM_P10VF
YP_009099995.1,YP_009099995.1 hypothetical protein P10VF_256 [Rhizobium phage vB_RleM_P10VF],PF01840,TCL1/MTCP1 family,NC_025429,Rhizobium phage vB_RleM_P10VF
YP_009100004.1,YP_009100004.1 hypothetical protein ep3_009 [Escherichia phage vB_EcoM-ep3],PF09691,Type II secretion system pilotin lipoprotein (PulS_OutS),NC_025430,Escherichia phage vB_EcoM-ep3
YP_009100014.1,YP_009100014.1 hypothetical protein ep3_0020 [Escherichia phage vB_EcoM-ep3],PF10729,Cell division activator CedA,NC_025430,Escherichia phage vB_EcoM-ep3
YP_009100040.1,YP_009100040.1 tail length tape measure protein [Escherichia phage vB_EcoM-ep3],PF10145,Phage-related minor tail protein,NC_025430,Escherichia phage vB_EcoM-ep3
YP_009100151.1,YP_009100151.1 hypothetical protein TAJ_39 [Mycobacterium phage Taj],PF17468,Phage gene product 52,NC_025433,Mycobacterium phage Taj
YP_009100163.1,YP_009100163.1 hypothetical protein TAJ_51 [Mycobacterium phage Taj],PF01541,GIY-YIG catalytic domain,NC_025433,Mycobacterium phage Taj
YP_009100188.1,YP_009100188.1 HTH DNA binding protein [Mycobacterium phage Taj],PF17466,Family of unknown function,NC_025433,Mycobacterium phage Taj
YP_009100235.1,YP_009100235.1 transcriptional repressor [Shigella phage POCJ13],PF15943,Bacterial toxin YdaS,NC_025434,Shigella phage POCJ13
YP_009100238.1,YP_009100238.1 DNA-binding protein [Shigella phage POCJ13],PF01051,Initiator Replication protein WH1,NC_025434,Shigella phage POCJ13
YP_009100250.1,YP_009100250.1 NinB/ Orf homologous recombination mediator [Shigella phage POCJ13],PF06138,Chordopoxvirus E11 protein,NC_025434,Shigella phage POCJ13
YP_009100262.1,YP_009100262.1 holin [Shigella phage POCJ13],PF04971,Bacteriophage P21 holin S,NC_025434,Shigella phage POCJ13
YP_009100279.1,YP_009100279.1 tail fiber adhesin [Shigella phage POCJ13],PF08677,GP11 baseplate wedge protein,NC_025434,Shigella phage POCJ13
YP_009100633.1,YP_009100633.1 hypothetical protein PI26_gp091 [Shigella phage Shf125875],PF06593,Raspberry bushy dwarf virus coat protein,NC_025437,Shigella phage Shf125875
YP_009100652.1,YP_009100652.1 hypothetical protein PI26_gp110 [Shigella phage Shf125875],PF01464,Transglycosylase SLT domain,NC_025437,Shigella phage Shf125875
YP_009100793.1,YP_009100793.1 hypothetical protein PI26_gp158 [Shigella phage Shf125875],PF10820,Protein of unknown function (DUF2543),NC_025437,Shigella phage Shf125875
YP_009100863.1,YP_009100863.1 hypothetical protein PBI_SOTO_54 [Mycobacterium phage Soto],PF04584,Poxvirus A28 family,NC_025438,Mycobacterium phage Soto
YP_009100870.1,YP_009100870.1 hypothetical protein PBI_SOTO_61 [Mycobacterium phage Soto],PF10891,Protein of unknown function (DUF2719),NC_025438,Mycobacterium phage Soto
YP_009100894.1,YP_009100894.1 hypothetical protein PBI_SOTO_85 [Mycobacterium phage Soto],PF17469,Gp68-like predicted RNA polymerase component,NC_025438,Mycobacterium phage Soto
YP_009100897.1,YP_009100897.1 hypothetical protein PBI_SOTO_88 [Mycobacterium phage Soto],PF06569,Protein of unknown function (DUF1128),NC_025438,Mycobacterium phage Soto
YP_009100904.1,YP_009100904.1 hypothetical protein PBI_SOTO_95 [Mycobacterium phage Soto],PF03206,Nitrogen fixation protein NifW,NC_025438,Mycobacterium phage Soto
YP_009101004.1,YP_009101004.1 hypothetical protein PI34_gp03 [Escherichia phage ECML-117],PF01886,Protein of unknown function DUF61,NC_025441,Escherichia phage ECML-117
YP_009101021.1,YP_009101021.1 hypothetical protein PI34_gp20 [Escherichia phage ECML-117],PF15155,MORF4 family-associated protein1,NC_025441,Escherichia phage ECML-117
YP_009101038.1,YP_009101038.1 hypothetical protein PI34_gp37 [Escherichia phage ECML-117],PF08078,PsaX family,NC_025441,Escherichia phage ECML-117
YP_009101068.1,YP_009101068.1 Rz-like spanin [Escherichia phage ECML-117],PF03245,Bacteriophage Rz lysis protein,NC_025441,Escherichia phage ECML-117
YP_009101088.1,YP_009101088.1 hypothetical protein PI34_gp87 [Escherichia phage ECML-117],PF06988,NifT/FixU protein,NC_025441,Escherichia phage ECML-117
YP_009101195.1,YP_009101195.1 hypothetical protein ST9NA_025 [Salmonella phage 9NA],PF10947,Protein of unknown function (DUF2628),NC_025443,Salmonella phage 9NA
YP_009101211.1,YP_009101211.1 hypothetical protein ST9NA_041 [Salmonella phage 9NA],PF14000,DNA packaging protein FI,NC_025443,Salmonella phage 9NA
YP_009101245.1,YP_009101245.1 hypothetical protein ST9NA_075 [Salmonella phage 9NA],PF04135,Nucleolar RNA-binding protein Nop10p family,NC_025443,Salmonella phage 9NA
YP_009101266.1,YP_009101266.1 holin [Mycobacterium phage RedRock],PF16081,Mycobacterial 2 TMS Phage Holin (M2 Hol) Family,NC_025444,Mycobacterium phage RedRock
YP_009101333.1,YP_009101333.1 hypothetical protein REDROCK_80 [Mycobacterium phage RedRock],PF09228,Prokaryotic Transcriptional repressor TraM,NC_025444,Mycobacterium phage RedRock
YP_009101345.1,YP_009101345.1 hypothetical protein REDROCK_92 [Mycobacterium phage RedRock],PF06174,Protein of unknown function (DUF987),NC_025444,Mycobacterium phage RedRock
YP_009101362.1,YP_009101362.1 DNA primase [Escherichia phage J8-65],PF01807,CHC2 zinc finger,NC_025445,Escherichia phage J8-65
YP_009101374.1,YP_009101374.1 polynucleotide kinase [Escherichia phage J8-65],PF06941,,NC_025445,Escherichia phage J8-65
YP_009101390.1,YP_009101390.1 terminase small subunit [Escherichia phage J8-65],PF10809,Protein of unknown function (DUF2732),NC_025445,Escherichia phage J8-65
YP_009101408.1,YP_009101408.1 hypothetical protein PI33_gp012 [Escherichia phage ECML-4],PF10705,Chloroplast protein precursor Ycf15 putative,NC_025446,Escherichia phage ECML-4
YP_009101410.1,YP_009101410.1 baseplate hub subunit and tail lysozyme [Escherichia phage ECML-4],PF20148,Domain of unknown function (DUF6531),NC_025446,Escherichia phage ECML-4
YP_009101499.1,YP_009101499.1 hypothetical protein PI33_gp103 [Escherichia phage ECML-4],PF09615,CRISPR-associated protein (Cas_Csy3),NC_025446,Escherichia phage ECML-4
YP_009101570.1,YP_009101570.1 hypothetical protein PI33_gp134 [Escherichia phage ECML-4],PF03304,Mlp lipoprotein family,NC_025446,Escherichia phage ECML-4
YP_009101585.1,YP_009101585.1 hypothetical protein PI33_gp119 [Escherichia phage ECML-4],PF03220,Tombusvirus P19 core protein,NC_025446,Escherichia phage ECML-4
YP_009101587.1,YP_009101587.1 hypothetical protein PI33_gp117 [Escherichia phage ECML-4],PF03513,Cloacin immunity protein,NC_025446,Escherichia phage ECML-4
YP_009101607.1,YP_009101607.1 hypothetical protein PBI_121Q_13 [Escherichia phage 121Q],PF07138,Baculovirus protein AC11,NC_025447,Escherichia phage 121Q
YP_009101620.1,YP_009101620.1 hypothetical protein PBI_121Q_26 [Escherichia phage 121Q],PF05073,Baculovirus P24 capsid protein,NC_025447,Escherichia phage 121Q
YP_009101644.1,YP_009101644.1 virion structural protein [Escherichia phage 121Q],PF04441,Poxvirus early transcription factor (VETF) large subunit,NC_025447,Escherichia phage 121Q
YP_009101706.1,YP_009101706.1 hypothetical protein PBI_121Q_112 [Escherichia phage 121Q],PF03887,YfbU domain,NC_025447,Escherichia phage 121Q
YP_009101742.1,YP_009101742.1 virion structural protein [Escherichia phage 121Q],PF03505,Clostridium enterotoxin,NC_025447,Escherichia phage 121Q
YP_009101772.1,YP_009101772.1 hypothetical protein PBI_121Q_185 [Escherichia phage 121Q],PF03744,6-carboxyhexanoate--CoA ligase,NC_025447,Escherichia phage 121Q
YP_009101821.1,YP_009101821.1 regulator of chromosome condensation [Escherichia phage 121Q],PF00415,Regulator of chromosome condensation (RCC1) repeat,NC_025447,Escherichia phage 121Q
YP_009101864.1,YP_009101864.1 hypothetical protein PBI_121Q_277 [Escherichia phage 121Q],PF12299,Protein of unknown function (DUF3627),NC_025447,Escherichia phage 121Q
YP_009101884.1,YP_009101884.1 hypothetical protein PBI_121Q_297 [Escherichia phage 121Q],PF10729,Cell division activator CedA,NC_025447,Escherichia phage 121Q
YP_009101887.1,YP_009101887.1 hypothetical protein PBI_121Q_300 [Escherichia phage 121Q],PF01775,Ribosomal proteins 50S-L18Ae/60S-L20/60S-L18A,NC_025447,Escherichia phage 121Q
YP_009101894.1,YP_009101894.1 hypothetical protein PBI_121Q_307 [Escherichia phage 121Q],PF01886,Protein of unknown function DUF61,NC_025447,Escherichia phage 121Q
YP_009101921.1,YP_009101921.1 hypothetical protein PBI_121Q_334 [Escherichia phage 121Q],PF06385,Baculovirus LEF-11 protein,NC_025447,Escherichia phage 121Q
YP_009101960.1,YP_009101960.1 hypothetical protein PBI_121Q_373 [Escherichia phage 121Q],PF07118,Protein of unknown function (DUF1374),NC_025447,Escherichia phage 121Q
YP_009102008.1,YP_009102008.1 hypothetical protein PBI_121Q_421 [Escherichia phage 121Q],PF17346,Family of unknown function (DUF5376),NC_025447,Escherichia phage 121Q
YP_009102070.1,YP_009102070.1 hypothetical protein PBI_121Q_483 [Escherichia phage 121Q],PF10465,PinA peptidase inhibitor,NC_025447,Escherichia phage 121Q
YP_009102076.1,YP_009102076.1 hypothetical protein PBI_121Q_489 [Escherichia phage 121Q],PF10465,PinA peptidase inhibitor,NC_025447,Escherichia phage 121Q
YP_009102107.1,YP_009102107.1 hypothetical protein PBI_121Q_520 [Escherichia phage 121Q],PF05798,Bacteriophage FRD3 protein,NC_025447,Escherichia phage 121Q
YP_009102118.1,YP_009102118.1 hypothetical protein PBI_121Q_531 [Escherichia phage 121Q],PF07823,Cyclic phosphodiesterase-like protein,NC_025447,Escherichia phage 121Q
YP_009102152.1,YP_009102152.1 hypothetical protein PBI_121Q_565 [Escherichia phage 121Q],PF11473,RNA binding protein B2,NC_025447,Escherichia phage 121Q
YP_009102178.1,YP_009102178.1 sigma factor for late transcription [Escherichia phage 121Q],PF04542,Sigma-70 region 2,NC_025447,Escherichia phage 121Q
YP_009102203.1,YP_009102203.1 virion structural protein [Escherichia phage 121Q],PF13993,YccJ-like protein,NC_025447,Escherichia phage 121Q
YP_009102253.1,YP_009102253.1 hypothetical protein RB27_048 [Enterobacteria phage RB27],PF06174,Protein of unknown function (DUF987),NC_025448,Enterobacteria phage RB27
YP_009102288.1,YP_009102288.1 hypothetical protein RB27_083 [Enterobacteria phage RB27],PF17470,Phage gene product 45.2,NC_025448,Enterobacteria phage RB27
YP_009102554.1,YP_009102554.1 hypothetical protein ECML134_079 [Escherichia phage ECML-134],PF06085,Lipoprotein Rz1 precursor,NC_025449,Escherichia phage ECML-134
YP_009102562.1,YP_009102562.1 hypothetical protein ECML134_087 [Escherichia phage ECML-134],PF05472,DNA replication terminus site-binding protein (Ter protein),NC_025449,Escherichia phage ECML-134
YP_009102590.1,YP_009102590.1 hypothetical protein ECML134_115 [Escherichia phage ECML-134],PF03206,Nitrogen fixation protein NifW,NC_025449,Escherichia phage ECML-134
YP_009102597.1,YP_009102597.1 internal virion protein [Escherichia phage ECML-134],PF05772,NinB protein,NC_025449,Escherichia phage ECML-134
YP_009102696.1,YP_009102696.1 Rz-like spanin [Escherichia phage ECML-134],PF03245,Bacteriophage Rz lysis protein,NC_025449,Escherichia phage ECML-134
YP_009102727.1,YP_009102727.1 hypothetical protein ECML134_252 [Escherichia phage ECML-134],PF08177,Small acid-soluble spore protein N family,NC_025449,Escherichia phage ECML-134
YP_009102741.1,YP_009102741.1 hypothetical protein ECML134_266 [Escherichia phage ECML-134],PF15040,Humanin family,NC_025449,Escherichia phage ECML-134
YP_009102773.1,YP_009102773.1 hypothetical protein phD2B_0027 [Lelliottia phage phD2B],PF14615,Ribosome-assembly protein 3,NC_025450,Lelliottia phage phD2B
YP_009102786.1,YP_009102786.1 terminase small subunit [Lelliottia phage phD2B],PF01172,Shwachman-Bodian-Diamond syndrome (SBDS) protein,NC_025450,Lelliottia phage phD2B
YP_009102838.1,YP_009102838.1 Rz-like spanin [Yersinia phage vB_YenP_AP5],PF03245,Bacteriophage Rz lysis protein,NC_025451,Yersinia phage vB_YenP_AP5
YP_009102840.1,YP_009102840.1 hypothetical protein vBYenPAB5_0045 [Yersinia phage vB_YenP_AP5],PF08078,PsaX family,NC_025451,Yersinia phage vB_YenP_AP5
YP_009102854.1,YP_009102854.1 hypothetical protein DA66_0014 [Dickeya phage RC-2014],PF05271,Tobravirus 2B protein,NC_025452,Dickeya phage RC-2014
YP_009102871.1,YP_009102871.1 hypothetical protein DA66_0031 [Dickeya phage RC-2014],PF17435,CT_584-like,NC_025452,Dickeya phage RC-2014
YP_009102889.1,YP_009102889.1 hypothetical protein DA66_0049 [Dickeya phage RC-2014],PF08796,Protein of unknown function (DUF1797),NC_025452,Dickeya phage RC-2014
YP_009102911.1,YP_009102911.1 acyl carrier protein [Dickeya phage RC-2014],PF00550,Phosphopantetheine attachment site,NC_025452,Dickeya phage RC-2014
YP_009102921.1,YP_009102921.1 translation repressor [Dickeya phage RC-2014],PF04787,Late protein H7,NC_025452,Dickeya phage RC-2014
YP_009102922.1,YP_009102922.1 clamp loader of DNA polymerase [Dickeya phage RC-2014],PF16053,Mitochondrial 28S ribosomal protein S34,NC_025452,Dickeya phage RC-2014
YP_009102937.1,YP_009102937.1 hypothetical protein DA66_0097 [Dickeya phage RC-2014],PF02081,Tryptophan RNA-binding attenuator protein,NC_025452,Dickeya phage RC-2014
YP_009103149.1,YP_009103149.1 internal virion protein [Synechococcus phage S-CBP2],PF12506,Protein of unknown function (DUF3713),NC_025455,Synechococcus phage S-CBP2
YP_009103155.1,YP_009103155.1 hypothetical protein S-CBP2_0047 [Synechococcus phage S-CBP2],PF06569,Protein of unknown function (DUF1128),NC_025455,Synechococcus phage S-CBP2
YP_009103156.1,YP_009103156.1 terminase small subunit [Synechococcus phage S-CBP2],PF17594,Phage Tail fiber assembly helper gene product 57,NC_025455,Synechococcus phage S-CBP2
YP_009103157.1,YP_009103157.1 hypothetical protein S-CBP2_0049 [Synechococcus phage S-CBP2],PF09124,T4 recombination endonuclease VII dimerisation,NC_025455,Synechococcus phage S-CBP2
YP_009103159.1,YP_009103159.1 hypothetical protein S-CBP2_0051 [Synechococcus phage S-CBP2],PF00062,C-type lysozyme/alpha-lactalbumin family,NC_025455,Synechococcus phage S-CBP2
YP_009103236.1,YP_009103236.1 hypothetical protein vB_AbaP_Acibel007_25 [Acinetobacter phage vB_AbaP_Acibel007],PF12299,Protein of unknown function (DUF3627),NC_025457,Acinetobacter phage vB_AbaP_Acibel007
